seed,MCS_per_temperature,number_of_temperatures,schedule,num_runs,best_energy,success_rate,average_time,tts_p0.99
502033,10,100,logT,10,-1.69189,0,309.053956795,inf
502033,10,125,logT,10,-1.69198,0,387.076268816,inf
502033,10,150,logT,10,-1.69203,0,465.369375777,inf
502033,10,175,logT,10,-1.69205,0,544.362875271,inf
502033,10,200,logT,10,-1.69202,0,620.951727033,inf
502033,10,225,logT,10,-1.69208,0,697.896002197,inf
502033,10,250,logT,10,-1.69209,0,776.956738162,inf
502033,10,275,logT,10,-1.69207,0,855.00320611,inf
502033,10,300,logT,10,-1.69206,0,932.453838778,inf
502033,10,325,logT,10,-1.69208,0,1011.96607802,inf
502033,10,350,logT,10,-1.6921,0,1089.60652237,inf
502033,10,375,logT,10,-1.69208,0,1168.83443573,inf
502033,10,400,logT,10,-1.69207,0,1243.95894039,inf
502033,10,425,logT,10,-1.69206,0,1323.80241315,inf
502033,10,450,logT,10,-1.69208,0,1403.17806463,inf
502033,10,475,logT,10,-1.69213,0.1,1479.76906092,64678.7681225
502033,10,500,logT,10,-1.69213,0.1,1556.24252777,68021.3232283
502033,10,525,logT,10,-1.69213,0.2,1636.7420177,33778.594531
502033,10,550,logT,10,-1.69213,0.1,1716.00556104,75004.3562274
502033,10,575,logT,10,-1.69206,0,1790.35811977,inf
502033,10,600,logT,10,-1.69206,0,1872.13808517,inf
502033,10,625,logT,10,-1.69206,0,1949.34340298,inf
502033,10,650,logT,10,-1.69208,0,2025.17568984,inf
502033,10,675,logT,10,-1.6921,0,2102.24748418,inf
502033,10,700,logT,10,-1.69206,0,2184.90531139,inf
502033,10,725,logT,9,-1.69213,0.111111,2259.10399471,88328.1561349
502033,10,750,logT,10,-1.6921,0,2340.90873168,inf
502033,10,775,logT,10,-1.69208,0,2420.14104831,inf
502033,10,800,logT,10,-1.69213,0.1,2496.96780345,109139.193293
502033,10,825,logT,10,-1.69203,0,2569.9318119,inf
502033,10,850,logT,10,-1.69213,0.1,2647.97153533,115739.368697
502033,10,875,logT,10,-1.69207,0,2723.13176808,inf
502033,10,900,logT,10,-1.69213,0.1,2810.97865496,122864.196463
502033,10,1000,logT,10,-1.69208,0,3132.88163812,inf
3210623,10,100,logT,10,-1.72048,0,308.962945342,inf
3210623,10,125,logT,10,-1.72121,0,387.189302683,inf
3210623,10,150,logT,10,-1.72151,0,464.483694363,inf
3210623,10,175,logT,10,-1.72202,0.1,543.864423633,23771.60185
3210623,10,200,logT,10,-1.7218,0,620.436431718,inf
3210623,10,225,logT,10,-1.72202,0.2,700.068177271,14447.7986441
3210623,10,250,logT,10,-1.72202,0.2,777.428273964,16044.3332909
3210623,10,275,logT,10,-1.72202,0.1,856.404777551,37432.3314962
3210623,10,300,logT,10,-1.72196,0,934.343313718,inf
3210623,10,325,logT,10,-1.72202,0.3,1012.12476799,13067.9401098
3210623,10,350,logT,10,-1.72202,0.1,1091.86720045,47724.0856991
3210623,10,375,logT,10,-1.72202,0.3,1169.56908836,15100.7655225
3210623,10,400,logT,10,-1.72161,0,1244.15621405,inf
3210623,10,425,logT,10,-1.72202,0.3,1327.10896766,17134.8247341
3210623,10,450,logT,10,-1.72202,0.5,1404.49282157,9331.24832611
3210623,10,475,logT,10,-1.72202,0.5,1484.48751183,9862.72154409
3210623,10,500,logT,10,-1.72202,0.4,1554.85702634,14017.2710374
3210623,10,525,logT,10,-1.72202,0.5,1638.79596038,10887.9246851
3210623,10,550,logT,10,-1.72202,0.2,1715.58222752,35405.6753119
3210623,10,575,logT,10,-1.72202,0.4,1794.63372424,16178.8942001
3210623,10,600,logT,10,-1.72202,0.4,1868.73228388,16846.9039119
3210623,10,625,logT,10,-1.72202,0.5,1953.35115776,12977.7841803
3210623,10,650,logT,10,-1.72202,0.4,2027.15328228,18275.0931505
3210623,10,675,logT,10,-1.72202,0.8,2105.02550766,6023.22129592
3210623,10,700,logT,10,-1.72202,0.9,2182.96694088,4365.93388176
4063355,10,100,logT,10,-1.70641,0,309.331513047,inf
4063355,10,125,logT,10,-1.70684,0,386.83945353,inf
4063355,10,150,logT,10,-1.70695,0,465.299062824,inf
4063355,10,175,logT,10,-1.70677,0,543.995668674,inf
4063355,10,200,logT,10,-1.70693,0,620.496711278,inf
4063355,10,225,logT,10,-1.70664,0,698.820557714,inf
4063355,10,250,logT,10,-1.70695,0,776.39367106,inf
4063355,10,275,logT,10,-1.70666,0,855.67726059,inf
4063355,10,300,logT,10,-1.70695,0,935.638370466,inf
4063355,10,325,logT,10,-1.70702,0,1013.32932899,inf
4063355,10,350,logT,10,-1.70688,0,1089.84302957,inf
4063355,10,375,logT,10,-1.70688,0,1166.76607964,inf
4063355,10,400,logT,10,-1.70695,0,1248.3709074,inf
4063355,10,425,logT,10,-1.70692,0,1325.92548733,inf
4063355,10,450,logT,10,-1.70695,0,1404.09989915,inf
4063355,10,475,logT,10,-1.70695,0,1483.87632334,inf
4063355,10,500,logT,10,-1.70692,0,1558.39769573,inf
4063355,10,525,logT,10,-1.70695,0,1639.51176605,inf
4063355,10,550,logT,10,-1.70677,0,1717.68280897,inf
4063355,10,575,logT,10,-1.70695,0,1797.70931077,inf
4063355,10,600,logT,10,-1.70695,0,1870.27515697,inf
4063355,10,625,logT,10,-1.70692,0,1956.58815479,inf
4063355,10,650,logT,10,-1.70695,0,2029.71537883,inf
4063355,10,675,logT,10,-1.70695,0,2108.72006822,inf
4063355,10,700,logT,10,-1.70695,0,2181.83620071,inf
4063355,10,725,logT,10,-1.70694,0,2266.22609367,inf
4063355,10,750,logT,10,-1.70695,0,2343.35122442,inf
4063355,10,775,logT,10,-1.70695,0,2425.1344173,inf
4063355,10,800,logT,10,-1.70682,0,2503.59044502,inf
4063355,10,825,logT,10,-1.70695,0,2578.00730505,inf
4063355,10,850,logT,10,-1.70702,0,2654.99225004,inf
4063355,10,875,logT,10,-1.70702,0,2735.95415545,inf
4063355,10,900,logT,10,-1.70695,0,2807.54838169,inf
4063355,10,1000,logT,10,-1.70695,0,3125.44160719,inf
5105474,10,100,logT,10,-1.68591,0,309.19743371,inf
5105474,10,125,logT,10,-1.68596,0.1,387.251105285,16926.2387661
5105474,10,150,logT,10,-1.6858,0,465.557518697,inf
5105474,10,175,logT,10,-1.68554,0,543.187251139,inf
5105474,10,200,logT,10,-1.68576,0,621.492693901,inf
