seed,MCS_per_temperature,number_of_temperatures,schedule,num_runs,best_energy,success_rate,average_time,tts_p0.99
502033,10,525,logT,10,-1.69213,0.2,1636.7420177,33778.594531
3210623,10,700,logT,10,-1.72202,0.9,2182.96694088,4365.93388176
4063355,10,325,logT,10,-1.70702,0,1013.32932899,inf
5105474,10,125,logT,10,-1.68596,0.1,387.251105285,16926.2387661
7711527,10,600,logT,10,-1.7123,0.1,1868.3309813,81662.3009002
9551411,10,625,logT,10,-1.69627,0,1949.11147401,inf
9569658,10,125,logT,10,-1.70125,0.1,387.12275753,16920.6288538
11086240,10,200,logT,10,-1.68613,0.1,622.188819289,27195.0586304
14949383,10,700,logT,10,-1.67764,0.1,2179.31424396,95254.9721262
16095495,10,750,logT,10,-1.70227,0.3,2333.35956759,30126.9211546
