N,seed,min_energy,average_time,success_probability,TTS,hardware,program_name,average_steps,parameters
1000,12238274,-1.50016186,0.0003364127,0,15.4916027305,Intel Xeon Gold 6248,Greedy,334.2487,
1000,12476934,-1.52339214,0.0003373377,0,15.5341984248,Intel Xeon Gold 6248,Greedy,336.4551,
1000,12520071,-1.52168966,0.0003375463,0,15.5438043295,Intel Xeon Gold 6248,Greedy,335.2984,
1000,12531925,-1.51234472,0.0003369826,0,15.5178462831,Intel Xeon Gold 6248,Greedy,334.0651,
1000,12600313,-1.53867575,0.0003377461,0,15.5530049994,Intel Xeon Gold 6248,Greedy,335.5477,
1000,12876033,-1.5189391,0.0003365939,0,15.4999468816,Intel Xeon Gold 6248,Greedy,335.7223,
1000,12948253,-1.48978509,0.0003413856,0,15.720601788,Intel Xeon Gold 6248,Greedy,336.4655,
1000,13046662,-1.55708026,0.0003391349,0,15.6169584051,Intel Xeon Gold 6248,Greedy,336.4319,
1000,13183385,-1.4965105,0.0003390806,0,15.6144579227,Intel Xeon Gold 6248,Greedy,336.83,
1000,13232651,-1.48108933,0.0003382096,0,15.574348896,Intel Xeon Gold 6248,Greedy,335.9042,
1000,13392517,-1.51685905,0.0003377182,0,15.5517202212,Intel Xeon Gold 6248,Greedy,335.9708,
1000,13414790,-1.54348637,0.0003376276,0,15.5475481456,Intel Xeon Gold 6248,Greedy,333.4836,
1000,13551483,-1.50399894,0.0003371613,0,15.5260753108,Intel Xeon Gold 6248,Greedy,334.2461,
1000,13753649,-1.52394253,0.0003390613,0,15.6135691693,Intel Xeon Gold 6248,Greedy,338.4533,
1000,13928994,-1.51449306,0.0003379947,0,15.5644528801,Intel Xeon Gold 6248,Greedy,335.1235,
1000,14030140,-1.50326765,0.000338343,0,15.5804918858,Intel Xeon Gold 6248,Greedy,333.4808,
1000,14066739,-1.51007991,0.0003383375,0,15.5802386141,Intel Xeon Gold 6248,Greedy,335.2987,
1000,14106527,-1.54228585,0.0003381262,0,15.5705083761,Intel Xeon Gold 6248,Greedy,334.0687,
1000,14207659,-1.48153222,0.0003387626,0,15.5998142138,Intel Xeon Gold 6248,Greedy,336.5099,
1000,14230092,-1.51424627,0.0003367928,0,15.5091061071,Intel Xeon Gold 6248,Greedy,334.8749,
1000,14265803,-1.48620322,0.0003381049,0,15.5695275239,Intel Xeon Gold 6248,Greedy,336.1813,
1000,14280208,-1.52170147,0.0005395796,0,24.8473164202,Intel Xeon Gold 6248,Greedy,335.1217,
1000,14441004,-1.5279387,0.0003369004,0,15.5140610225,Intel Xeon Gold 6248,Greedy,337.2403,
1000,14542852,-1.52167711,0.0003384993,0,15.5876894069,Intel Xeon Gold 6248,Greedy,335.3779,
1000,14547212,-1.5194212,0.0003382658,0,15.5769368722,Intel Xeon Gold 6248,Greedy,334.6532,
1000,14550708,-1.51876909,0.0003390763,0,15.6142599103,Intel Xeon Gold 6248,Greedy,336.2818,
1000,14772102,-1.54563246,0.0003373851,0,15.5363811663,Intel Xeon Gold 6248,Greedy,336.4261,
1000,15011482,-1.54685734,0.0003376901,0,15.5504262331,Intel Xeon Gold 6248,Greedy,334.8809,
1000,15037000,-1.51700937,0.000336111,0,15.4777096267,Intel Xeon Gold 6248,Greedy,333.3724,
1000,15345480,-1.568778,0.0003381171,0,15.5700893266,Intel Xeon Gold 6248,Greedy,336.8607,
1000,15446758,-1.51992936,0.0003362903,0,15.485966284,Intel Xeon Gold 6248,Greedy,333.7379,
1000,15509635,-1.47004064,0.0003392963,0,15.6243907781,Intel Xeon Gold 6248,Greedy,337.1996,
1000,15570002,-1.50945918,0.0003379756,0,15.5635733366,Intel Xeon Gold 6248,Greedy,335.9244,
1000,15709809,-1.50330714,0.0003377113,0,15.5514024803,Intel Xeon Gold 6248,Greedy,336.119,
1000,15755754,-1.52872336,0.0003407136,0,15.6896565917,Intel Xeon Gold 6248,Greedy,337.7274,
1000,15763085,-1.47940913,0.0003376509,0,15.5486210966,Intel Xeon Gold 6248,Greedy,335.9905,
1000,15924209,-1.56282893,0.0003367116,0,15.5053668959,Intel Xeon Gold 6248,Greedy,335.2914,
1000,15981934,-1.51160046,0.0003391892,0,15.6194588875,Intel Xeon Gold 6248,Greedy,337.2651,
1000,16164239,-1.51051013,0.0003366939,0,15.5045518216,Intel Xeon Gold 6248,Greedy,334.8044,
1000,16173523,-1.53301972,0.0003380218,0,15.5657008188,Intel Xeon Gold 6248,Greedy,335.6041,
1000,16248991,-1.50474821,0.0003397548,0,15.6455044277,Intel Xeon Gold 6248,Greedy,337.2225,
1000,16319112,-1.53045694,0.0003356134,0,15.4547954457,Intel Xeon Gold 6248,Greedy,332.299,
1000,16350340,-1.54095234,0.0003397196,0,15.6438834888,Intel Xeon Gold 6248,Greedy,337.3168,
1000,16516882,-1.52902863,0.0003384744,0,15.5865427769,Intel Xeon Gold 6248,Greedy,336.9734,
1000,16577430,-1.52154308,0.0003377358,0,15.5525306906,Intel Xeon Gold 6248,Greedy,337.0073,
1000,16600400,-1.52762791,0.0003384432,0,15.5851060356,Intel Xeon Gold 6248,Greedy,337.8599,
1000,16609733,-1.5328052,0.0003364016,0,15.4910915822,Intel Xeon Gold 6248,Greedy,334.5817,
1000,16657501,-1.520874,0.0003373973,0,15.536942969,Intel Xeon Gold 6248,Greedy,335.2765,
1000,16678332,-1.53518971,0.0003397794,0,15.6466372429,Intel Xeon Gold 6248,Greedy,337.754,
1000,16695257,-1.51650499,0.0003392268,0,15.6211903449,Intel Xeon Gold 6248,Greedy,337.1807,
2744,502033,-1.47952419,0.0006601054,0,30.3974571027,Intel Xeon Gold 6248,Greedy,920.8558,
2744,3210623,-1.50790197,0.0006606423,0,30.4221810252,Intel Xeon Gold 6248,Greedy,924.1162,
2744,4063355,-1.48921333,0.0006611941,0,30.4475910837,Intel Xeon Gold 6248,Greedy,922.8442,
2744,5105474,-1.49228296,0.0006601806,0,30.4009200175,Intel Xeon Gold 6248,Greedy,918.2595,
2744,7711527,-1.50111655,0.0006633773,0,30.5481261321,Intel Xeon Gold 6248,Greedy,924.4951,
2744,9551411,-1.48969705,0.00066086,0,30.4322059794,Intel Xeon Gold 6248,Greedy,925.8467,
2744,9569658,-1.48433643,0.0006647002,0,30.6090448823,Intel Xeon Gold 6248,Greedy,922.4491,
2744,11086240,-1.47578026,0.0006628859,0,30.5254974573,Intel Xeon Gold 6248,Greedy,921.7182,
2744,14949383,-1.46972933,0.0006605831,0,30.4194549007,Intel Xeon Gold 6248,Greedy,921.514,
2744,16095495,-1.48771485,0.000664705,0,30.6092659194,Intel Xeon Gold 6248,Greedy,920.7261,
1000,110046,-1.44479375,0.0001578469,0,7.26875491633,Intel Xeon Gold 6248,Random,465.8831,
1000,228274,-1.44504805,0.0001553634,0,7.15439123333,Intel Xeon Gold 6248,Random,468.9178,
1000,1010826,-1.50224579,0.0001587266,0,7.30926457284,Intel Xeon Gold 6248,Random,468.8296,
1000,1051560,-1.45582047,0.0001586716,0,7.30673185588,Intel Xeon Gold 6248,Random,470.2546,
1000,1086364,-1.48966841,0.0001578767,0,7.27012718843,Intel Xeon Gold 6248,Random,465.1561,
1000,1153328,-1.47602254,0.0001577453,0,7.26407629737,Intel Xeon Gold 6248,Random,466.0408,
1000,1251908,-1.51011436,0.0001595113,0,7.34539953642,Intel Xeon Gold 6248,Random,470.5558,
1000,1430748,-1.50264892,0.0001579503,0,7.27351642421,Intel Xeon Gold 6248,Random,474.1639,
1000,1494266,-1.52268661,0.0001574803,0,7.25187320657,Intel Xeon Gold 6248,Random,465.2728,
1000,1526610,-1.48611871,0.0001561569,0,7.19093143162,Intel Xeon Gold 6248,Random,467.4215,
1000,1575578,-1.48720941,0.0001571642,0,7.23731699147,Intel Xeon Gold 6248,Random,468.6925,
1000,1631660,-1.47745493,0.0001561387,0,7.19009333255,Intel Xeon Gold 6248,Random,466.3971,
1000,1730477,-1.44897724,0.0001550261,0,7.13885877096,Intel Xeon Gold 6248,Random,466.0281,
1000,1769991,-1.51751459,0.0001549144,0,7.13371505307,Intel Xeon Gold 6248,Random,463.484,
1000,1791529,-1.51905116,0.0001572341,0,7.24053584448,Intel Xeon Gold 6248,Random,467.9349,
1000,1914710,-1.47420584,0.0001572651,0,7.24196337585,Intel Xeon Gold 6248,Random,470.7649,
1000,1958910,-1.52782934,0.0001564817,0,7.20588827649,Intel Xeon Gold 6248,Random,467.1036,
1000,2094269,-1.49863153,0.0001571483,0,7.23658480602,Intel Xeon Gold 6248,Random,471.3134,
1000,2103206,-1.5579475,0.0001564085,0,7.20251746047,Intel Xeon Gold 6248,Random,472.1767,
1000,2254005,-1.48636394,0.0001558633,0,7.177411328,Intel Xeon Gold 6248,Random,472.1222,
1000,2261070,-1.47347236,0.0001573699,0,7.24678935289,Intel Xeon Gold 6248,Random,467.6743,
1000,2330819,-1.51515584,0.0001566118,0,7.21187930333,Intel Xeon Gold 6248,Random,467.7857,
1000,2471202,-1.46687331,0.0001558037,0,7.17466678381,Intel Xeon Gold 6248,Random,467.6711,
1000,10016117,-1.47790732,0.000157729,0,7.26332569216,Intel Xeon Gold 6248,Random,468.2058,
1000,10289415,-1.48121205,0.0001584918,0,7.2984521739,Intel Xeon Gold 6248,Random,471.3283,
1000,10303962,-1.50508515,0.0001591187,0,7.32732054228,Intel Xeon Gold 6248,Random,464.5723,
1000,10321011,-1.55300523,0.0001596694,0,7.35267994644,Intel Xeon Gold 6248,Random,470.9398,
1000,10492586,-1.47521762,0.0001593977,0,7.34016832467,Intel Xeon Gold 6248,Random,469.9347,
1000,10617787,-1.47466658,0.0001587547,0,7.31055856096,Intel Xeon Gold 6248,Random,470.2587,
1000,10680741,-1.46644724,0.000157391,0,7.24776099522,Intel Xeon Gold 6248,Random,467.6947,
1000,10752963,-1.5212223,0.0001584728,0,7.29757723531,Intel Xeon Gold 6248,Random,467.5423,
1000,10759243,-1.50827901,0.0001589043,0,7.31744755108,Intel Xeon Gold 6248,Random,473.2089,
1000,10785990,-1.49505986,0.0001594427,0,7.34224054763,Intel Xeon Gold 6248,Random,467.2747,
1000,10873220,-1.46475129,0.0001571744,0,7.23778669534,Intel Xeon Gold 6248,Random,465.994,
1000,11037872,-1.49702581,0.0001585712,0,7.3021084962,Intel Xeon Gold 6248,Random,473.2267,
1000,11146941,-1.46167962,0.000158765,0,7.31103286977,Intel Xeon Gold 6248,Random,467.9213,
1000,11182766,-1.49376445,0.0001598209,0,7.35965643042,Intel Xeon Gold 6248,Random,470.0067,
1000,11251697,-1.50744079,0.0001573348,0,7.24517301898,Intel Xeon Gold 6248,Random,464.5043,
1000,11371769,-1.49760241,0.0001586616,0,7.30627136189,Intel Xeon Gold 6248,Random,468.4178,
1000,11402525,-1.50425751,0.0001587968,0,7.31249724066,Intel Xeon Gold 6248,Random,469.8071,
1000,11412292,-1.51352887,0.0001581793,0,7.28406173664,Intel Xeon Gold 6248,Random,470.5057,
1000,11503114,-1.4942007,0.0001585537,0,7.30130263171,Intel Xeon Gold 6248,Random,470.8527,
