N,seed,min_energy,average_time,success_probability,TTS,hardware,program_name
50,1051924,-0.66685223,4.4176e-05,0.001,0.044176,Linux x86_64,Greedy
50,1051927,-0.68721726,4.4063e-05,0.001,0.044063,Linux x86_64,Greedy
50,1051930,-0.66906044,4.5999e-05,0.001,0.045999,Linux x86_64,Greedy
50,1051933,-0.72364326,4.4151e-05,0.002,0.0220755,Linux x86_64,Greedy
50,1051936,-0.66279848,4.4422e-05,0.001,0.044422,Linux x86_64,Greedy
50,1051939,-0.71504225,4.5989e-05,0.001,0.045989,Linux x86_64,Greedy
50,1051942,-0.75813487,4.5465e-05,0.001,0.045465,Linux x86_64,Greedy
50,1051945,-0.70466466,4.2597e-05,0.001,0.042597,Linux x86_64,Greedy
50,1051948,-0.70383806,4.4032e-05,0.002,0.022016,Linux x86_64,Greedy
50,1051951,-0.69874248,4.4185e-05,0.001,0.044185,Linux x86_64,Greedy
50,1051954,-0.72165626,4.6796e-05,0.004,0.011699,Linux x86_64,Greedy
50,1051957,-0.74203864,4.7717e-05,0.002,0.0238585,Linux x86_64,Greedy
50,1051960,-0.71202847,4.4485e-05,0.001,0.044485,Linux x86_64,Greedy
50,1051963,-0.68614803,4.2601e-05,0.003,0.0142003333333,Linux x86_64,Greedy
50,1051966,-0.67133584,4.7722e-05,0.002,0.023861,Linux x86_64,Greedy
50,1051969,-0.71275341,4.4835e-05,0.004,0.01120875,Linux x86_64,Greedy
50,1051972,-0.73796125,4.4181e-05,0.001,0.044181,Linux x86_64,Greedy
50,1051975,-0.86106388,4.5934e-05,0.001,0.045934,Linux x86_64,Greedy
50,1051978,-0.69254625,4.7703e-05,0.003,0.015901,Linux x86_64,Greedy
50,1051981,-0.69872346,4.4083e-05,0.001,0.044083,Linux x86_64,Greedy
50,1051984,-0.72206624,4.6202e-05,0.005,0.0092404,Linux x86_64,Greedy
50,1051987,-0.74627328,4.71e-05,0.001,0.0471,Linux x86_64,Greedy
50,1051990,-0.72064189,4.3913e-05,0.001,0.043913,Linux x86_64,Greedy
50,1051993,-0.75253532,4.6598e-05,0.001,0.046598,Linux x86_64,Greedy
50,1051996,-0.74668026,4.6233e-05,0.001,0.046233,Linux x86_64,Greedy
50,1051999,-0.73388248,4.664e-05,0.001,0.04664,Linux x86_64,Greedy
50,1052002,-0.68477627,4.3388e-05,0.001,0.043388,Linux x86_64,Greedy
50,1052005,-0.72361707,4.4359e-05,0.002,0.0221795,Linux x86_64,Greedy
50,1052008,-0.72259924,4.3062e-05,0.003,0.014354,Linux x86_64,Greedy
50,1052011,-0.70798705,4.2448e-05,0.001,0.042448,Linux x86_64,Greedy
50,1052014,-0.69469046,4.3999e-05,0.002,0.0219995,Linux x86_64,Greedy
50,1052017,-0.70872148,4.7197e-05,0.001,0.047197,Linux x86_64,Greedy
50,1052020,-0.69671667,4.6762e-05,0.002,0.023381,Linux x86_64,Greedy
50,1052023,-0.71161225,4.7701e-05,0.001,0.047701,Linux x86_64,Greedy
50,1052026,-0.76282748,4.7471e-05,0.001,0.047471,Linux x86_64,Greedy
50,1052029,-0.68656823,4.7112e-05,0.001,0.047112,Linux x86_64,Greedy
100,1101732,-0.73146351,0.000104548,0.002,0.052274,Linux x86_64,Greedy
100,1101735,-0.76029214,0.00010474,0.001,0.10474,Linux x86_64,Greedy
100,1101738,-0.74355112,9.8742e-05,0.001,0.098742,Linux x86_64,Greedy
100,1101741,-0.75279312,0.000101901,0.001,0.101901,Linux x86_64,Greedy
100,1101744,-0.72449539,0.000102268,0.001,0.102268,Linux x86_64,Greedy
100,1101747,-0.69158491,0.000100014,0.002,0.050007,Linux x86_64,Greedy
100,1101750,-0.72912173,0.000100373,0.001,0.100373,Linux x86_64,Greedy
100,1101753,-0.70058299,0.000101584,0.001,0.101584,Linux x86_64,Greedy
100,1101756,-0.71960032,0.000102298,0.001,0.102298,Linux x86_64,Greedy
100,1101759,-0.73880443,0.000100342,0.001,0.100342,Linux x86_64,Greedy
100,1101762,-0.71952181,9.9934e-05,0.001,0.099934,Linux x86_64,Greedy
100,1101765,-0.74321764,0.000102751,0.001,0.102751,Linux x86_64,Greedy
100,1101768,-0.74495451,0.000103287,0.001,0.103287,Linux x86_64,Greedy
100,1101771,-0.72723929,0.000100401,0.002,0.0502005,Linux x86_64,Greedy
100,1101774,-0.71075897,9.7652e-05,0.001,0.097652,Linux x86_64,Greedy
100,1101777,-0.72976411,0.000104804,0.002,0.052402,Linux x86_64,Greedy
100,1101780,-0.74268032,0.000102201,0.001,0.102201,Linux x86_64,Greedy
