seed,global_steps_per_temperature,MCS_per_global_steps,number_of_temperatures,schedule,num_runs,best_energy,success_rate,average_time,tts_p0.99
5918224,5,15,14,logT,10,-1.6477,1,118.657879376,118.657879376
5920270,5,15,12,logT,10,-1.71192,0.9,105.316700697,210.633401394
6007986,5,15,12,logT,10,-1.67094,1,103.256690788,103.256690788
6145844,5,15,15,logT,10,-1.66589,0.9,126.224577188,252.449154377
6163735,5,15,12,logT,10,-1.69796,0.9,104.153462696,208.306925392
6391497,5,15,9,logT,10,-1.73133,1,80.4746795654,80.4746795654
6397791,5,15,13,logT,10,-1.72007,0.9,111.043311906,222.086623812
6582535,5,15,11,logT,10,-1.7002,1,95.7243835926,95.7243835926
6616820,5,15,12,logT,10,-1.68809,1,104.457660174,104.457660174
6667235,5,15,13,logT,10,-1.73309,1,110.960452414,110.960452414
6774234,5,15,13,logT,10,-1.69408,1,110.940669751,110.940669751
6857733,5,15,10,logT,10,-1.70857,0.9,88.2239256382,176.447851276
6893474,5,15,12,logT,10,-1.71062,1,103.287427926,103.287427926
6998119,5,15,11,logT,10,-1.71608,1,95.8725557089,95.8725557089
7165636,5,15,15,logT,10,-1.65415,1,126.219022822,126.219022822
7276912,5,15,13,logT,10,-1.68996,0.9,111.066683531,222.133367062
7296639,5,15,13,logT,10,-1.67606,0.9,111.015513325,222.031026649
7308676,5,15,9,logT,10,-1.70904,0.9,80.5525367022,161.105073404
7388150,5,15,16,logT,10,-1.71376,0.9,133.788870049,267.577740097
7408152,5,15,12,logT,10,-1.70551,1,103.330396724,103.330396724
7429274,5,15,10,logT,10,-1.70107,1,88.3738752842,88.3738752842
7778359,5,15,11,logT,10,-1.73538,1,95.8032657623,95.8032657623
7923692,5,15,11,logT,10,-1.65815,1,95.7519306183,95.7519306183
7981098,5,15,15,logT,10,-1.73222,1,126.102522588,126.102522588
8085727,5,15,12,logT,10,-1.70976,1,103.280458045,103.280458045
8111176,5,15,14,logT,10,-1.69573,0.9,118.41813736,236.836274719
8397304,5,15,11,logT,10,-1.71318,0.9,95.8528102636,191.705620527
8421935,5,15,16,logT,10,-1.67507,1,133.921161628,133.921161628
8453239,5,15,13,logT,10,-1.68031,1,110.958449984,110.958449984
8453439,5,15,12,logT,10,-1.7135,1,103.400691056,103.400691056
8458710,5,15,15,logT,10,-1.67951,1,126.285814905,126.285814905
8598692,5,15,13,logT,10,-1.65938,0.9,110.906706285,221.813412571
8767273,5,15,17,logT,10,-1.693,1,141.508812332,141.508812332
8924713,5,15,11,logT,10,-1.66932,0.9,95.7275960922,191.455192184
8991508,5,15,9,logT,10,-1.66604,0.9,80.6269582987,161.253916597
9015879,5,15,11,logT,10,-1.71764,0.9,95.9800927401,191.96018548
9067352,5,15,14,logT,10,-1.67964,0.9,120.059237552,240.118475103
9175173,5,15,13,logT,10,-1.67111,1,110.720789647,110.720789647
9181537,5,15,15,logT,10,-1.66824,0.9,126.695600963,253.391201925
9182308,5,15,10,logT,10,-1.69881,1,88.1497785568,88.1497785568
9335413,5,15,14,logT,10,-1.69022,1,118.666507006,118.666507006
9469999,5,15,12,logT,10,-1.70814,1,103.352933025,103.352933025
9510406,5,15,11,logT,10,-1.70199,1,95.6378344536,95.6378344536
9516964,5,15,12,logT,10,-1.66673,1,103.54974153,103.54974153
9692062,5,15,13,logT,10,-1.72398,0.9,110.990408039,221.980816078
9721192,5,15,11,logT,10,-1.70144,1,95.8599045038,95.8599045038
9732497,5,15,9,logT,10,-1.72027,0.9,80.6710669994,161.342133999
9807541,5,15,14,logT,10,-1.68575,1,118.751953769,118.751953769
10016117,5,15,13,logT,10,-1.66535,1,110.927487159,110.927487159
10289415,5,15,12,logT,10,-1.68948,0.9,103.398669243,206.797338486
10303962,5,15,14,logT,10,-1.69095,0.9,118.53620429,237.072408581
10321011,5,15,9,logT,10,-1.76596,1,80.8772530794,80.8772530794
10492586,5,15,13,logT,10,-1.68098,0.9,112.627194905,225.254389811
10617787,5,15,16,logT,10,-1.6683,1,133.741247654,133.741247654
10680741,5,15,12,logT,10,-1.65512,1,103.584718847,103.584718847
10752963,5,15,14,logT,10,-1.74174,1,118.803592396,118.803592396
10759243,5,15,12,logT,10,-1.69761,1,103.478011703,103.478011703
10785990,5,15,14,logT,10,-1.69339,1,118.602913284,118.602913284
10873220,5,15,14,logT,10,-1.65267,1,118.36980679,118.36980679
11037872,5,15,13,logT,10,-1.69444,1,110.978031945,110.978031945
11146941,5,15,16,logT,10,-1.65302,1,133.923591948,133.923591948
11182766,5,15,12,logT,10,-1.68636,1,103.312283182,103.312283182
11251697,5,15,12,logT,10,-1.7161,1,103.404603982,103.404603982
11371769,5,15,15,logT,10,-1.69505,0.9,126.477944112,252.955888224
11402525,5,15,14,logT,10,-1.70928,1,118.408065557,118.408065557
11412292,5,15,14,logT,10,-1.70872,0.9,119.878688145,239.757376289
11503114,5,15,13,logT,10,-1.69167,1,111.150400329,111.150400329
11534681,5,15,10,logT,10,-1.71107,1,88.4055504799,88.4055504799
11605451,5,15,14,logT,10,-1.68312,1,118.633185315,118.633185315
11679033,5,15,14,logT,10,-1.66707,1,119.391033435,119.391033435
11777311,5,15,13,logT,10,-1.6965,1,111.104805732,111.104805732
11802495,5,15,16,logT,10,-1.6898,1,133.658132887,133.658132887
11915411,5,15,13,logT,10,-1.68097,1,110.955025935,110.955025935
11960737,5,15,11,logT,10,-1.6913,1,95.9210282803,95.9210282803
12088959,5,15,14,logT,10,-1.69584,1,118.562190032,118.562190032
12238274,5,15,13,logT,10,-1.66623,0.9,111.093418002,222.186836004
12476934,5,15,9,logT,10,-1.71499,1,80.6455506086,80.6455506086
12520071,5,15,14,logT,10,-1.68949,0.9,118.566163898,237.132327795
12531925,5,15,14,logT,10,-1.68796,1,118.931951809,118.931951809
12600313,5,15,11,logT,10,-1.70384,1,96.9727757692,96.9727757692
12876033,5,15,15,logT,10,-1.69459,0.9,126.129522943,252.259045887
12948253,5,15,17,logT,10,-1.6636,1,141.25856185,141.25856185
13046662,5,15,12,logT,10,-1.73876,0.9,103.335862398,206.671724796
13183385,5,15,12,logT,10,-1.66908,0.9,103.246575475,206.493150949
13232651,5,15,13,logT,10,-1.65347,0.9,111.01818347,222.03636694
13392517,5,15,14,logT,10,-1.69585,0.9,118.598392224,237.196784449
13414790,5,15,12,logT,10,-1.72062,0.9,103.371645474,206.743290949
13551483,5,15,11,logT,10,-1.67897,0.9,95.8232420206,191.646484041
13753649,5,15,12,logT,10,-1.69922,1,103.503700638,103.503700638
13928994,5,15,10,logT,10,-1.68737,1,88.164262414,88.164262414
14030140,5,15,13,logT,10,-1.67294,1,111.309874392,111.309874392
14066739,5,15,14,logT,10,-1.67601,0.9,118.571671271,237.143342543
14106527,5,15,18,logT,10,-1.71267,0.9,148.842337418,297.684674835
14207659,5,15,16,logT,10,-1.6417,0.9,133.642693496,267.285386992
14230092,5,15,13,logT,10,-1.68828,0.9,111.030023599,222.060047197
14265803,5,15,14,logT,10,-1.65969,1,118.650457335,118.650457335
14280208,5,15,10,logT,10,-1.69269,0.9,88.2865552902,176.57311058
14441004,5,15,16,logT,10,-1.69695,1,134.013927054,134.013927054
14542852,5,15,17,logT,10,-1.69856,1,143.009200001,143.009200001
14547212,5,15,12,logT,10,-1.67492,1,103.428572226,103.428572226
14550708,5,15,10,logT,10,-1.68647,1,88.1531222343,88.1531222343
14772102,5,15,12,logT,10,-1.725,0.9,103.295666218,206.591332436
15011482,5,15,10,logT,10,-1.73888,1,88.5871156693,88.5871156693
15037000,5,15,16,logT,10,-1.70124,1,133.688270164,133.688270164
15345480,5,15,11,logT,10,-1.74859,1,95.9006042242,95.9006042242
15446758,5,15,14,logT,10,-1.70623,0.9,119.215616679,238.431233358
15509635,5,15,10,logT,10,-1.64976,1,88.2911593914,88.2911593914
15570002,5,15,13,logT,10,-1.67317,0.9,111.526989841,223.053979683
15709809,5,15,11,logT,10,-1.66647,1,95.6747033358,95.6747033358
15755754,5,15,11,logT,10,-1.69615,0.9,95.9388020992,191.877604198
15763085,5,15,10,logT,10,-1.65829,1,88.4112747431,88.4112747431
15924209,5,15,12,logT,10,-1.71158,1,103.45171237,103.45171237
15981934,5,15,17,logT,10,-1.67195,1,141.924024677,141.924024677
16164239,5,15,10,logT,10,-1.69433,1,88.2781365871,88.2781365871
16173523,5,15,13,logT,10,-1.70529,1,110.947075915,110.947075915
16248991,5,15,13,logT,10,-1.67747,0.9,111.122542477,222.245084953
16319112,5,15,12,logT,10,-1.71467,1,103.540392876,103.540392876
16350340,5,15,16,logT,10,-1.70231,1,133.521310568,133.521310568
16516882,5,15,13,logT,10,-1.69499,1,110.905696535,110.905696535
16577430,5,15,12,logT,10,-1.69605,1,103.398532987,103.398532987
16600400,5,15,12,logT,10,-1.6835,1,103.226487803,103.226487803
16609733,5,15,12,logT,10,-1.71667,1,103.583821273,103.583821273
16657501,5,15,16,logT,10,-1.69571,0.9,133.670337033,267.340674067
16678332,5,15,12,logT,10,-1.70272,1,103.535900521,103.535900521
16695257,5,15,10,logT,10,-1.70229,1,88.2137032747,88.2137032747
