seed,global_steps_per_temperature,MCS_per_global_steps,number_of_temperatures,schedule,num_runs,best_energy,success_rate,average_time,tts_p0.99
110046,5,15,4,logT,10,-1.64749,0,42.6931628227,inf
110046,5,15,5,logT,10,-1.64779,0,50.2964061499,inf
110046,5,15,6,logT,10,-1.65088,0,57.8398101091,inf
110046,5,15,7,logT,10,-1.65168,0,65.4994327307,inf
110046,5,15,8,logT,10,-1.65216,0.4,73.1466920853,659.428481898
110046,5,15,9,logT,10,-1.65216,1,80.6425801039,80.6425801039
228274,5,15,4,logT,10,-1.63539,0,42.747123456,inf
228274,5,15,5,logT,10,-1.63995,0,50.2739237785,inf
228274,5,15,6,logT,10,-1.64317,0,57.9307740211,inf
228274,5,15,7,logT,10,-1.64407,0,65.4681005239,inf
228274,5,15,8,logT,10,-1.64437,0,73.0637643337,inf
228274,5,15,9,logT,10,-1.64456,0.3,80.7247992039,1042.26956471
228274,5,15,10,logT,10,-1.64456,0.6,88.3005421162,443.788210242
228274,5,15,11,logT,10,-1.64456,1,95.8555305004,95.8555305004
369954,5,15,4,logT,10,-1.71681,0,42.769241786,inf
369954,5,15,5,logT,10,-1.72075,0,50.260875082,inf
369954,5,15,6,logT,10,-1.72714,0,57.8507670164,inf
369954,5,15,7,logT,10,-1.72847,0,65.5223035812,inf
369954,5,15,8,logT,10,-1.72927,0,73.1596636295,inf
369954,5,15,9,logT,10,-1.72947,0,80.7300996304,inf
369954,5,15,10,logT,10,-1.7295,0.3,88.2983730555,1140.05494913
369954,5,15,11,logT,10,-1.7295,0.7,95.9916639566,367.166058376
369954,5,15,12,logT,10,-1.7295,1,103.602399874,103.602399874
418527,5,15,4,logT,10,-1.67211,0,42.6932496309,inf
418527,5,15,5,logT,10,-1.67498,0,50.3133864641,inf
418527,5,15,6,logT,10,-1.67799,0,57.879136467,inf
418527,5,15,7,logT,10,-1.67812,0,65.4779886246,inf
418527,5,15,8,logT,10,-1.68124,0,73.0618831396,inf
418527,5,15,9,logT,10,-1.68155,0,80.5768512487,inf
418527,5,15,10,logT,10,-1.68175,0,88.3018304348,inf
418527,5,15,11,logT,10,-1.68273,0,95.8846059799,inf
418527,5,15,12,logT,10,-1.68276,0.1,103.381817937,4518.68389941
418527,5,15,13,logT,10,-1.68276,0.1,110.953968525,4849.65268704
418527,5,15,14,logT,10,-1.68276,0.7,118.594824791,453.62266438
418527,5,15,15,logT,10,-1.68276,1,126.213620567,126.213620567
492757,5,15,4,logT,10,-1.65284,0,43.0342170954,inf
492757,5,15,5,logT,10,-1.65692,0,50.7180719614,inf
492757,5,15,6,logT,10,-1.65762,0,58.4226632833,inf
492757,5,15,7,logT,10,-1.65928,0,66.0696242094,inf
492757,5,15,8,logT,10,-1.66209,0,73.6768627167,inf
492757,5,15,9,logT,10,-1.66219,0,80.6715121031,inf
492757,5,15,10,logT,10,-1.66167,0,88.4092767,inf
492757,5,15,11,logT,10,-1.66257,0.1,96.1588481665,4202.97734811
492757,5,15,12,logT,10,-1.66225,0,103.747100997,inf
492757,5,15,13,logT,10,-1.66257,0.1,111.618896532,4878.71581961
492757,5,15,14,logT,10,-1.66257,0.1,118.877500033,5195.97987463
492757,5,15,15,logT,10,-1.66257,0.5,126.680185318,841.644933347
492757,5,15,16,logT,10,-1.66257,0.6,134.395200777,675.45458033
492757,5,15,17,logT,10,-1.66257,0.9,142.251483583,284.502967167
554682,5,15,4,logT,10,-1.69451,0,43.0919336557,inf
554682,5,15,5,logT,10,-1.69796,0,50.556543088,inf
554682,5,15,6,logT,10,-1.70163,0,58.1563771009,inf
554682,5,15,7,logT,10,-1.70232,0,65.7018746376,inf
554682,5,15,8,logT,10,-1.70232,0,73.5094402313,inf
554682,5,15,9,logT,10,-1.70232,0,80.6447524548,inf
554682,5,15,10,logT,10,-1.70255,0.2,88.7129304409,1830.83105011
554682,5,15,11,logT,10,-1.70255,0.2,96.6956943274,1995.57695487
554682,5,15,12,logT,10,-1.70255,0.5,104.389649677,693.549820157
554682,5,15,13,logT,10,-1.70255,0.9,111.215482593,222.430965185
624355,5,15,4,logT,10,-1.72001,0,42.6760332108,inf
624355,5,15,5,logT,10,-1.7208,0,50.3099737167,inf
624355,5,15,6,logT,10,-1.72411,0,57.9861523628,inf
624355,5,15,7,logT,10,-1.72667,0,65.44980371,inf
624355,5,15,8,logT,10,-1.72627,0,73.0815960646,inf
624355,5,15,9,logT,10,-1.72772,0,80.6937413454,inf
624355,5,15,10,logT,10,-1.72771,0,88.2149273157,inf
624355,5,15,11,logT,10,-1.72799,0,95.8357367754,inf
624355,5,15,12,logT,10,-1.72807,0.4,103.46566608,932.758613771
624355,5,15,13,logT,10,-1.72807,0.8,111.021574593,317.67192842
624355,5,15,14,logT,10,-1.72807,1,118.562962508,118.562962508
631654,5,15,4,logT,10,-1.69016,0,42.9318706036,inf
631654,5,15,5,logT,10,-1.69179,0,50.8521723032,inf
631654,5,15,6,logT,10,-1.69404,0,58.2915874481,inf
631654,5,15,7,logT,10,-1.69364,0,65.838569665,inf
631654,5,15,8,logT,10,-1.69489,0,73.703342247,inf
631654,5,15,9,logT,10,-1.69582,0,81.1946349382,inf
631654,5,15,10,logT,10,-1.69736,0,88.8896959066,inf
631654,5,15,11,logT,10,-1.69735,0,96.4021342039,inf
631654,5,15,12,logT,10,-1.69762,0,103.72944448,inf
631654,5,15,13,logT,10,-1.69762,0,111.212372923,inf
631654,5,15,14,logT,10,-1.69762,0,119.286832976,inf
631654,5,15,15,logT,10,-1.69762,0,126.391537309,inf
631654,5,15,16,logT,10,-1.69765,0,134.34670856,inf
631654,5,15,17,logT,10,-1.69762,0,142.195774722,inf
631654,5,15,18,logT,10,-1.69768,0.1,149.603225231,6538.9610924
631654,5,15,19,logT,10,-1.69768,0.3,157.351882195,2031.63190717
631654,5,15,20,logT,10,-1.69768,0.1,164.601431513,7194.51305113
631654,5,15,21,logT,10,-1.69768,0.5,172.02746079,1142.92571018
631654,5,15,22,logT,10,-1.69768,1,179.974483514,179.974483514
654105,5,15,4,logT,10,-1.65737,0,42.6181795597,inf
654105,5,15,5,logT,10,-1.65984,0,50.2251065016,inf
654105,5,15,6,logT,10,-1.66262,0,57.8373171806,inf
654105,5,15,7,logT,10,-1.66343,0,65.4856077909,inf
654105,5,15,8,logT,10,-1.66429,0,72.9632920265,inf
654105,5,15,9,logT,10,-1.66402,0,80.5759509802,inf
654105,5,15,10,logT,10,-1.66433,0,88.1941333771,inf
654105,5,15,11,logT,10,-1.66439,0.2,95.7435731649,1975.92736175
654105,5,15,12,logT,10,-1.66439,0.4,103.318543124,931.432278098
654105,5,15,13,logT,10,-1.66439,0.9,110.972529149,221.945058298
658180,5,15,4,logT,10,-1.71871,0,42.6558965683,inf
658180,5,15,5,logT,10,-1.724,0,50.2999346018,inf
658180,5,15,6,logT,10,-1.72678,0,57.9436991215,inf
658180,5,15,7,logT,10,-1.72723,0,65.6037060261,inf
658180,5,15,8,logT,10,-1.7279,0,73.1872327328,inf
